created_at,fan_activation
2026-03-04T14:57:33+00:00,1
2026-03-04T15:02:32+00:00,1
2026-03-04T15:12:51+00:00,1
2026-03-04T15:17:55+00:00,1
2026-03-04T15:22:48+00:00,1
2026-03-04T15:27:33+00:00,1
2026-03-04T15:32:54+00:00,1
2026-03-04T15:37:50+00:00,1
2026-03-04T15:42:33+00:00,1
2026-03-04T15:47:32+00:00,1
2026-03-04T15:52:36+00:00,1
2026-03-04T15:57:50+00:00,1
2026-03-04T16:02:44+00:00,1
2026-03-04T16:07:36+00:00,1
2026-03-04T16:12:39+00:00,1
2026-03-04T16:17:33+00:00,1
2026-03-04T16:22:34+00:00,0
2026-03-04T16:32:48+00:00,0
2026-03-04T16:37:32+00:00,0
2026-03-04T16:53:08+00:00,1
2026-03-04T16:57:42+00:00,1
2026-03-04T17:02:36+00:00,1
2026-03-04T17:07:34+00:00,1
2026-03-04T17:12:49+00:00,1
2026-03-04T17:17:52+00:00,0
2026-03-04T17:22:38+00:00,0
2026-03-04T17:27:55+00:00,0
2026-03-04T17:32:33+00:00,0
2026-03-04T17:42:53+00:00,0
2026-03-04T17:47:59+00:00,0
2026-03-04T17:52:32+00:00,0
2026-03-04T17:57:54+00:00,0
2026-03-04T18:08:05+00:00,0
2026-03-04T18:12:34+00:00,1
2026-03-04T18:17:30+00:00,1
2026-03-04T18:22:32+00:00,1
2026-03-04T18:27:49+00:00,1
2026-03-04T18:32:45+00:00,1
2026-03-04T18:37:30+00:00,1
2026-03-04T18:42:43+00:00,1
2026-03-04T18:47:31+00:00,1
2026-03-04T18:52:46+00:00,1
2026-03-04T18:57:57+00:00,1
2026-03-04T19:02:33+00:00,1
2026-03-04T19:07:54+00:00,1
2026-03-04T19:12:35+00:00,1
2026-03-04T19:17:32+00:00,1
2026-03-04T19:22:33+00:00,1
2026-03-04T19:27:45+00:00,1
2026-03-04T19:32:55+00:00,1
2026-03-04T19:37:42+00:00,1
2026-03-04T19:42:38+00:00,1
2026-03-04T19:47:48+00:00,1
2026-03-04T19:52:51+00:00,1
2026-03-04T19:58:01+00:00,1
